t	e	n	u	dpe	dpn	dpu
2015.991800	-0.350685	-0.332794	0.487465	0.000811	0.000751	0.003118
2015.994500	-0.351448	-0.331836	0.493315	0.000786	0.000729	0.003065
2015.997300	-0.352955	-0.336442	0.485371	0.000805	0.000754	0.003235
2016.000000	-0.352172	-0.334880	0.494074	0.000830	0.000757	0.003248
2016.002700	-0.354047	-0.333847	0.493564	0.000787	0.000744	0.003044
2016.005500	-0.354267	-0.336316	0.485163	0.000797	0.000758	0.003105
2016.008200	-0.352734	-0.334121	0.488792	0.000794	0.000728	0.003117
2016.011000	-0.351392	-0.334859	0.491137	0.000814	0.000749	0.003095
2016.013700	-0.349594	-0.335849	0.478565	0.000833	0.000750	0.003167
2016.016400	-0.354613	-0.335464	0.493109	0.000803	0.000751	0.003169
2016.019200	-0.353349	-0.335348	0.494804	0.000798	0.000744	0.003127
2016.021900	-0.352135	-0.334586	0.496939	0.000784	0.000740	0.003081
2016.024600	-0.355749	-0.333677	0.498714	0.000759	0.000713	0.002964
2016.027400	-0.353351	-0.334101	0.490044	0.000768	0.000719	0.002977
2016.030100	-0.352923	-0.334206	0.500302	0.000781	0.000728	0.003035
2016.032900	-0.354479	-0.337746	0.487654	0.000813	0.000741	0.003159
2016.035600	-0.353346	-0.335781	0.487462	0.000821	0.000762	0.003238
2016.038300	-0.352660	-0.336214	0.492963	0.000793	0.000752	0.003308
2016.041100	-0.353922	-0.336093	0.494724	0.000789	0.000727	0.003061
2016.043800	-0.352591	-0.336860	0.499399	0.000814	0.000742	0.003201
2016.046500	-0.352048	-0.334571	0.490959	0.000806	0.000756	0.003163
2016.049300	-0.356278	-0.337267	0.478709	0.000849	0.000805	0.003415
2016.052000	-0.354694	-0.339070	0.486118	0.000810	0.000750	0.003228
2016.054800	-0.352736	-0.333997	0.492648	0.000787	0.000722	0.002992
2016.057500	-0.351148	-0.333796	0.492980	0.000812	0.000745	0.003113
2016.060200	-0.351345	-0.332927	0.484977	0.000842	0.000751	0.003271
2016.063000	-0.352195	-0.335614	0.492672	0.000793	0.000742	0.003056
2016.065700	-0.352558	-0.335204	0.491172	0.000824	0.000743	0.003217
2016.068400	-0.351176	-0.336507	0.492562	0.000844	0.000759	0.003272
2016.071200	-0.352738	-0.336762	0.483814	0.000842	0.000745	0.003208
2016.073900	-0.352654	-0.335722	0.490239	0.000818	0.000731	0.003150
2016.076700	-0.349825	-0.334080	0.497218	0.000867	0.000773	0.003347
2016.079400	-0.351060	-0.337561	0.491477	0.000837	0.000755	0.003234
2016.082100	-0.352787	-0.337747	0.491426	0.000844	0.000756	0.003200
2016.084900	-0.351291	-0.336043	0.488300	0.000828	0.000733	0.003164
2016.087600	-0.350350	-0.339217	0.476828	0.000833	0.000741	0.003149
2016.090300	-0.350463	-0.336115	0.481931	0.000836	0.000751	0.003191
2016.093100	-0.352260	-0.337687	0.488523	0.000812	0.000735	0.003130
2016.095800	-0.352554	-0.338714	0.482272	0.000835	0.000770	0.003263
2016.098600	-0.353761	-0.337476	0.482374	0.000854	0.000771	0.003299
2016.101300	-0.351915	-0.336083	0.489420	0.000840	0.000754	0.003173
2016.104000	-0.352224	-0.337749	0.484383	0.000843	0.000760	0.003221
2016.106800	-0.351352	-0.336232	0.487618	0.000838	0.000762	0.003221
2016.109500	-0.350200	-0.337456	0.492532	0.000862	0.000797	0.003398
2016.112300	-0.352495	-0.339344	0.493342	0.000849	0.000767	0.003253
2016.115000	-0.349519	-0.337883	0.481898	0.000860	0.000766	0.003303
2016.117700	-0.351816	-0.336567	0.483715	0.000831	0.000743	0.003155
2016.120500	-0.350471	-0.335854	0.481839	0.000826	0.000747	0.003222
2016.123200	-0.349735	-0.337086	0.478413	0.000846	0.000769	0.003273
2016.125900	-0.351242	-0.337372	0.484123	0.000825	0.000751	0.003176
2016.128700	-0.352265	-0.337084	0.497584	0.000851	0.000748	0.003264
2016.131400	-0.350137	-0.334687	0.485143	0.000835	0.000739	0.003169
2016.134200	-0.351608	-0.336726	0.487693	0.000823	0.000751	0.003131
2016.136900	-0.350084	-0.338819	0.481670	0.000870	0.000791	0.003339
2016.139600	-0.352751	-0.335787	0.487536	0.000816	0.000757	0.003185
2016.142400	-0.351566	-0.335221	0.485585	0.000795	0.000724	0.003032
2016.145100	-0.351756	-0.335645	0.488644	0.000832	0.000737	0.003194
2016.147800	-0.351474	-0.338112	0.491567	0.000804	0.000719	0.003039
2016.150600	-0.351425	-0.337972	0.486763	0.000817	0.000722	0.003054
